wallet,num_txns,num_deposits,num_borrows,num_repays,num_redeems,num_liquidations,total_deposit_amt,total_borrow_amt,total_repay_amt,repay_ratio,activity_days,score
0x00000000001accfa9cef68cf5371a23025b6d4b6,1,1,0,0,0,0,2000.0,0.0,0.0,0.0,1,84
0x000000000051d07a4fb3bd10121a343d85818da6,1,1,0,0,0,0,145000000000000.0,0.0,0.0,0.0,1,335
0x000000000096026fb41fc39f9875d164bd82e2dc,2,2,0,0,0,0,5000000000.0,0.0,0.0,0.0,8,249
0x0000000000e189dd664b9ab08a33c4839953852c,17,0,0,0,17,0,0.0,0.0,0.0,0.0,130,82
0x0000000002032370b971dabd36d72f3e5a7bf1ee,399,250,15,4,130,0,9.459365814707709e+16,3.946000000007e+16,70024.57285,1.7745710301539731e-12,133,1000
0x000000000a38444e0a6e37d3b630d7e855a7cb13,25,7,8,5,5,0,1.06096172676103e+16,11605.0,11613.645226,1.0007449570012925,40,756
0x000000003853fcedcd0355fec98ca3192833f00b,8,8,0,0,0,0,45426992712.60784,0.0,0.0,0.0,8,283
0x000000003ce0cf2c037493b1dc087204bd7f713e,492,309,30,16,137,0,2.741882752968268e+17,8.633978978750131e+16,336813453090048.6,0.0039010223897812443,124,1000
0x000000007858e6f2668e1e06111cfa24403a5466,1,1,0,0,0,0,92647493827.74971,0.0,0.0,0.0,1,261
0x00000001a0f57e850c9db68b4a9bc34677437c5c,1,1,0,0,0,0,1.797442,0.0,0.0,0.0,1,19
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,69,26,24,9,10,0,8.005480506185253e+17,5.979480506185253e+17,5.991795354062131e+17,1.002059518024039,31,885
0x00000029ff545c86524ade7caf132527707948c4,47,12,12,12,11,0,2.7034675765792676e+18,1.2044886209729242e+18,1.20467795862627e+18,1.0001571933931537,3,832
0x00000087c4cebffb95746d1935de7fbcab092f40,250,86,62,45,57,0,2.000200538589319e+16,2.1000000001237224e+16,1179898840967199.2,0.05618565909036595,101,938
0x000000e28faa823d5b53ff6c2922c28335840375,297,107,66,63,61,0,2.3300892609316024e+18,2.527773525784642e+18,1.7742433097249006e+18,0.70189963286927,138,1000
0x000006eee6e39015cb523aebdd4d0b1855aba682,28,11,4,1,9,3,3.8762879274412104e+16,2.310000000000175e+16,2.310003841282813e+16,1.0000016628929167,42,475
0x00000a9c78912badb92d73b6ed26456e11def5eb,1,1,0,0,0,0,1.690049,0.0,0.0,0.0,1,18
0x00001bc47f0973f794f79c16121cee879e272d6a,4,0,0,0,4,0,0.0,0.0,0.0,0.0,48,46
0x00002b503a75998c97508916a74fdb41934fa030,147,27,47,45,28,0,875384669808016.5,5.887950000017829e+17,4.2674286930980205e+17,0.7247732560713148,126,903
0x0000897253cc85f7547317eb2080b36b3255687a,2,1,0,0,1,0,144717571777.70856,0.0,0.0,0.0,4,277
